dataset,attr,shape,n_numeric,n_cat,n_date,n_bool,usage
[American National Election Survey 1996](https://www.statsmodels.org/dev/datasets/generated/anes96.html),anes96,"944, 11",4,7,0,0,"Regression
Stats"
[Breast Cancer Data](https://www.statsmodels.org/dev/datasets/generated/cancer.html),cancer,"301, 2",2,0,0,0,Regression
[Bill Greene’s credit scoring data.](https://www.statsmodels.org/dev/datasets/generated/ccard.html),ccard,"72, 5",4,0,0,1,Regression
[Smoking and lung cancer in eight cities in China.](https://www.statsmodels.org/dev/datasets/generated/china_smoking.html),china_smoking,"8, 4",4,0,0,0,Regression
[Mauna Loa Weekly Atmospheric CO2 Data](https://www.statsmodels.org/dev/datasets/generated/co2.html),co2,"2284, 1",1,0,1,0,Time series
[First 100 days of the US House of Representatives 1995](https://www.statsmodels.org/dev/datasets/generated/committee.html),committee,"20, 6",5,0,0,0,Regression
[World Copper Market 1951-1975 Dataset](https://www.statsmodels.org/dev/datasets/generated/copper.html),copper,"25, 6",6,0,0,0,Regression
[US Capital Punishment dataset.](https://www.statsmodels.org/dev/datasets/generated/cpunish.html),cpunish,"17, 7",6,0,0,1,Regression
[Danish Money Demand Data](https://www.statsmodels.org/dev/datasets/generated/danish_data.html),danish_data,"55, 5",4,0,1,0,"Regression
Time series"
[El Nino - Sea Surface Temperatures](https://www.statsmodels.org/dev/datasets/generated/elnino.html),elnino,"61, 13",12,0,1,0,"Regression
Time series"
[Engel (1857) food expenditure data](https://www.statsmodels.org/dev/datasets/generated/engel.html),engel,"235, 2",2,0,0,0,Regression
[Affairs dataset](https://www.statsmodels.org/dev/datasets/generated/fair.html),fair,"6366, 8",3,5,0,0,"Regression
Stats"
[World Bank Fertility Data](https://www.statsmodels.org/dev/datasets/generated/fertility.html),fertility,"209, 58",55,3,1,0,"Regression
Stats
Timeseries"
[Grunfeld (1950) Investment Data](https://www.statsmodels.org/dev/datasets/generated/grunfeld.html),grunfeld,"220, 5",4,1,0,0,"Regression
Stats"
[Transplant Survival Data](https://www.statsmodels.org/dev/datasets/generated/heart.html),heart,"69, 3",2,0,0,1,Survival Analysis
[(West) German interest and inflation rate 1972-1998](https://www.statsmodels.org/dev/datasets/generated/interest_inflation.html),interest_inflation,"107, 4",4,0,0,0,Timeseries
[Longley dataset](https://www.statsmodels.org/dev/datasets/generated/longley.html),longley,"16, 7",6,0,1,0,"Regression
Timeseries"
[United States Macroeconomic data](https://www.statsmodels.org/dev/datasets/generated/macrodata.html),macrodata,"203, 14",12,0,2,0,"Regression
Timeseries"
[Travel Mode Choice](https://www.statsmodels.org/dev/datasets/generated/modechoice.html),modechoice,"840, 9",7,1,0,1,"Regression
Stats"
[Nile River flows at Ashwan 1871-1970](https://www.statsmodels.org/dev/datasets/generated/nile.html),nile,"100, 2",2,0,0,0,Timeseries
[RAND Health Insurance Experiment Data](https://www.statsmodels.org/dev/datasets/generated/randhie.html),randhie,"20190, 10",4,0,0,6,"Regression
Stats"
[Taxation Powers Vote for the Scottish Parliament 1997](https://www.statsmodels.org/dev/datasets/generated/scotland.html),scotland,"32, 8",8,0,0,0,Regression
[Spector and Mazzeo (1980) - Program Effectiveness Data](https://www.statsmodels.org/dev/datasets/generated/spector.html),spector,"32, 4",2,0,0,2,"Regression
Stats"
[Stack loss data](https://www.statsmodels.org/dev/datasets/generated/stackloss.html),stackloss,"21, 4",4,0,0,0,Regression
[Star98 Educational Dataset](https://www.statsmodels.org/dev/datasets/generated/star98.html),star98,"303, 22",22,0,0,0,Regression
[Statewide Crime Data 2009](https://www.statsmodels.org/dev/datasets/generated/statecrime.html),statecrime,"51, 7",6,1,0,0,"Regression
Stats"
[U.S. Strike Duration Data](https://www.statsmodels.org/dev/datasets/generated/strikes.html),strikes,"62, 2",2,0,0,0,Regression
[Yearly sunspots data 1700-2008](https://www.statsmodels.org/dev/datasets/generated/sunspots.html),sunspots,"309, 2",1,0,1,0,TImeseries
